,Customer id,probablity of fraud
0,15621423.0,1.365360604198337e-19
1,15799785.0,1.3417420318784061e-14
2,15706394.0,1.7323316114925547e-09
3,15790113.0,1.8564232373563527e-09
4,15705379.0,2.6869184654998435e-09
5,15664793.0,3.5277942789235794e-09
6,15692718.0,6.635388238862561e-09
7,15677395.0,9.03945096553116e-09
8,15789865.0,1.75945178426673e-08
9,15585855.0,2.2103854746546858e-08
10,15618703.0,2.36482087245804e-08
11,15813718.0,2.3752814826139e-08
12,15725776.0,2.68506532563606e-08
13,15728010.0,3.5306637613530256e-08
14,15570990.0,4.017880428364151e-08
15,15815271.0,4.574965473125303e-08
16,15744273.0,5.24434327076051e-08
17,15583724.0,5.504858435756432e-08
18,15757933.0,5.602329267162531e-08
19,15694237.0,6.270506958117039e-08
20,15670029.0,7.090617515359554e-08
21,15773934.0,7.618462660730074e-08
22,15805627.0,1.0276232842443278e-07
23,15671293.0,1.3160924083877035e-07
24,15810716.0,1.5264086528077314e-07
25,15700300.0,1.7373679384036222e-07
26,15744044.0,1.9801517225914722e-07
27,15568819.0,1.986800697295621e-07
28,15750921.0,2.0097316166811652e-07
29,15654859.0,2.039753468352501e-07
30,15764444.0,2.045402425210341e-07
31,15583680.0,3.376111976649554e-07
32,15750104.0,3.4917587754534907e-07
33,15568469.0,3.5358681316211005e-07
34,15763579.0,4.233781112361612e-07
35,15642098.0,4.7548417114740005e-07
36,15793825.0,5.02864111240342e-07
37,15586479.0,5.316589408721484e-07
38,15782159.0,5.595689458459674e-07
39,15749964.0,6.050735237295157e-07
40,15761854.0,6.359272219924605e-07
41,15725028.0,6.360927500281832e-07
42,15646535.0,6.632010354223894e-07
43,15791944.0,6.837835826445371e-07
44,15613699.0,7.039293450361583e-07
45,15689268.0,7.260854317792109e-07
46,15778290.0,7.406724193970149e-07
47,15576680.0,7.526442118432897e-07
48,15671534.0,8.379633982258383e-07
49,15746995.0,9.06841137293668e-07
50,15586183.0,9.226014299201779e-07
51,15718921.0,9.256269208890444e-07
52,15662189.0,9.436186587663542e-07
53,15788442.0,1.0516140491745318e-06
54,15573798.0,1.0717971008489258e-06
55,15595010.0,1.1196807463420555e-06
56,15696361.0,1.136815399149782e-06
57,15683993.0,1.3394895859164535e-06
58,15594305.0,1.4371461247719708e-06
59,15589881.0,1.5632570011803182e-06
60,15602456.0,1.582341951689159e-06
61,15797767.0,1.6371484434785089e-06
62,15717700.0,1.7029626633302541e-06
63,15777893.0,1.8090655657942989e-06
64,15736399.0,1.9383119251870085e-06
65,15815040.0,2.150050477212062e-06
66,15801072.0,2.1802463834319497e-06
67,15572361.0,3.036351245100377e-06
68,15697460.0,3.0592902930948185e-06
69,15730793.0,3.3564342629688326e-06
70,15583552.0,3.4044460335280746e-06
71,15632010.0,3.410021918170969e-06
72,15627365.0,3.519264282658696e-06
73,15620570.0,3.7262445857777493e-06
74,15633944.0,3.839116743620252e-06
75,15678882.0,3.8429925552918576e-06
76,15774262.0,3.849191216431791e-06
77,15569394.0,3.860223387164297e-06
78,15715750.0,4.028527655464131e-06
79,15804235.0,4.175082722213119e-06
80,15607988.0,4.324069777794648e-06
81,15647295.0,4.355312285042601e-06
82,15719940.0,4.397868451633258e-06
83,15665087.0,4.434737547853729e-06
84,15796787.0,4.474483830563258e-06
85,15618410.0,4.57436362921726e-06
86,15767264.0,5.016687737224856e-06
87,15657778.0,5.2021573537786026e-06
88,15781875.0,5.460103238874581e-06
89,15689781.0,6.011637651681667e-06
90,15704581.0,6.286302323132986e-06
91,15765257.0,6.354358447424602e-06
92,15608595.0,6.689915608149022e-06
93,15737998.0,7.0005417001084425e-06
94,15696287.0,7.251688657561317e-06
95,15605341.0,7.4138943091384135e-06
96,15723827.0,7.731679033895489e-06
97,15735330.0,7.910789463494439e-06
98,15682860.0,8.562506991438568e-06
99,15735837.0,9.081406460609287e-06
100,15803378.0,9.292040886066388e-06
101,15598266.0,9.361035154142883e-06
102,15667460.0,9.414977284905035e-06
103,15592412.0,9.418785339221358e-06
104,15744423.0,9.804809451452456e-06
105,15673238.0,9.89536420092918e-06
106,15776156.0,1.005198009806918e-05
107,15661412.0,1.1374244422768243e-05
108,15702149.0,1.1523156899784226e-05
109,15780088.0,1.1678463124553673e-05
110,15660871.0,1.2497846910264343e-05
111,15747757.0,1.280824017158011e-05
112,15627190.0,1.4182987797539681e-05
113,15649160.0,1.4964113688620273e-05
114,15788224.0,1.5494690160267055e-05
115,15800049.0,1.558232725074049e-05
116,15566495.0,1.6385378330596723e-05
117,15585892.0,1.875301131804008e-05
118,15761733.0,1.882249489426613e-05
119,15713160.0,1.9520308342180215e-05
120,15690372.0,2.0111736375838518e-05
121,15710138.0,2.025173671427183e-05
122,15768295.0,2.1084155378048308e-05
123,15711742.0,2.1615607693092898e-05
124,15638989.0,2.2830521629657596e-05
125,15586174.0,2.3899408915895037e-05
126,15761158.0,2.4203760403906927e-05
127,15590234.0,2.6747873562271707e-05
128,15666166.0,2.7140320526086725e-05
129,15759133.0,2.8042466510669328e-05
130,15717065.0,2.80919048236683e-05
131,15745804.0,2.827308162522968e-05
132,15770995.0,2.8651706088567153e-05
133,15750476.0,2.8806285627069883e-05
134,15663194.0,2.9533593988162465e-05
135,15690772.0,2.956087155325804e-05
136,15766734.0,2.9605955205624923e-05
137,15775750.0,3.2297928555635735e-05
138,15613673.0,3.277930591139011e-05
139,15690492.0,3.398346234462224e-05
140,15625311.0,3.4276956284884363e-05
141,15716347.0,3.444332105573267e-05
142,15687688.0,3.6305053072283044e-05
143,15764922.0,3.855802788166329e-05
144,15672432.0,3.890089283231646e-05
145,15649183.0,4.0815324609866366e-05
146,15667934.0,4.2671988921938464e-05
147,15664083.0,4.307817653170787e-05
148,15687527.0,4.3590873247012496e-05
149,15701885.0,4.362110485089943e-05
150,15631451.0,4.652893403545022e-05
151,15572390.0,4.703871672973037e-05
152,15713983.0,4.84006195620168e-05
153,15776921.0,4.854961662204005e-05
154,15773776.0,5.053582935943268e-05
155,15814116.0,5.129402416059747e-05
156,15783859.0,5.1642811740748584e-05
157,15810485.0,5.2046114433323964e-05
158,15758477.0,5.268307722872123e-05
159,15713250.0,5.360537033993751e-05
160,15761047.0,5.4727632232243195e-05
161,15604196.0,5.8768742746906355e-05
162,15607746.0,6.002480222377926e-05
163,15644446.0,6.140577897895128e-05
164,15642934.0,6.193450826685876e-05
165,15714087.0,6.256782944547012e-05
166,15683168.0,6.372397911036387e-05
167,15762799.0,6.385616870829836e-05
168,15674750.0,6.449610373238102e-05
169,15777994.0,6.549921090481803e-05
170,15666012.0,6.65094266878441e-05
171,15636521.0,6.721965473843738e-05
172,15731989.0,6.735004717484117e-05
173,15675176.0,6.87157444190234e-05
174,15761554.0,7.167884177761152e-05
175,15641715.0,7.479795749532059e-05
176,15787229.0,7.676842506043613e-05
177,15670646.0,7.84218282205984e-05
178,15709252.0,7.938628550618887e-05
179,15785367.0,8.231691754190251e-05
180,15665374.0,8.396641351282597e-05
181,15764226.0,8.502232230966911e-05
